1	file	-1	-1	Holidays	1
1	file	-1	-1	Rites of Passage	2
1	file	-1	-1	Groups/Social Customs	3
1	file	-1	-1	New Year's	1.1
1	file	-1	-1	Gifts Left	1.1.1
1	item	1	6	Lagoon	1.8.3	1
1	file	1	6	July 24th	1.9
1	item	-1	-1	Family Gatherings	1.9.1	4
1	item	1	6	Community Parades/Festivals	1.9.2	13
1	file	1	7	Labor Day	1.10
1	item	1	7	Camping at Bear Lake	1.10.1	1
1	item	1	7	Huckleberry picking at Bear Lake	1.10.2	1
1	item	1	7	Backpacking	1.10.3	1
1	item	1	7	Wearing White	1.10.4	1
1	file	1	7	Halloween	1.11
1	item	1	7	Family Parties	1.11.1	3
1	file	1	7	Foodways	1.11.2
1	item	1	7	Donuts	1.11.2.1	3
1	item	1	7	Pizza	1.11.2.2	1
1	item	1	7	Dinner	1.11.2.3	1
1	item	1	7	Popcorn Balls	1.11.2.4	1
1	item	-1	-1	Caramel Apples	1.11.2.5	2
1	item	1	7	Chili	1.11.2.6	3
1	item	1	7	Sugar Cookies	1.11.2.7	2
1	item	1	7	Sloppy Joes	1.11.2.8	1
1	item	1	7	Caramel Popcorn	1.11.2.9	1
1	item	1	7	Halloween Taffy	1.11.2.10	1
1	item	1	7	Halloween Barbecue	1.11.2.11	1
1	item	1	7	Candy	1.11.2.12	1
1	item	1	7	Family Traditions	1.11.3	12
1	item	1	7	Community Activities	1.11.4	7
1	item	1	7	Trick or Treating	1.11.5	15
1	item	1	7	Alternatives to Trick or Treating	1.11.6	7
1	file	1	7	Miscellaneous	1.11.0
1	item	1	7	Costumes at Work	1.11.0.1	1
1	item	1	7	Pumpkins	1.11.0.2	1
1	item	1	7	Cemetery Decorating	1.11.0.3	1
1	item	1	7	Vandalizing	1.11.0.4	1
1	item	1	7	Masquerade	1.11.0.5	1
1	file	-1	-1	Thanksgiving	1.12
1	file	2	1	Ways of Expressing Thankfulness	1.12.1
1	item	2	1	Corn Kernels 	1.12.1.1	4
1	item	-1	-1	General	1.12.1.2	8
1	item	-1	-1	Candy Blessings	1.12.1.3	7
1	file	2	2	Foodways	1.12.2
1	file	2	1	Puddings	1.12.2.1
1	item	2	1	Corn Pudding	1.12.2.1.1	1
1	item	-1	-1	Brown Pudding	1.12.2.1.2	1
1	item	2	1	Chocolate Walnut Pudding	1.12.2.1.3	1
1	item	2	1	Carrot Pudding	1.12.2.1.4	4
1	file	2	1	Breads	1.12.2.2
1	item	2	1	Ice Box Rolls	1.12.2.2.1	2
1	item	2	1	Pumpkin Bread	1.12.2.2.2	1
1	item	2	1	Rhodes Rolls	1.12.2.2.3	1
1	file	2	1	Salads	1.12.2.3
1	item	2	1	Frozen Pineapple Salad	1.12.2.3.1	1
1	item	2	1	Fruit Salad	1.12.2.3.2	2
1	item	2	1	Green Jell-O Salad	1.12.2.3.3	1
1	item	2	1	Carrot Salad	1.12.2.3.4	1
1	item	2	1	Apple Salad	1.12.2.3.5	1
1	item	2	1	Dixie Salad	1.12.2.3.6	1
1	item	2	1	Cranberry Salad	1.12.2.3.7	1
1	file	-1	-1	Vegetables	1.12.2.4
1	item	-1	-1	Spanish Corn	1.12.2.4.1	1
1	item	2	1	Green Bean Casserole	1.12.2.4.2	1
1	item	2	1	Thanksgiving Onions	1.12.2.4.3	1
1	item	2	1	Sweet Potatoes	1.12.2.4.4	1
1	item	2	1	Vegetables with Cheese	1.12.2.4.5	1
1	item	2	1	Swedish Corn Casserole	1.12.2.4.6	1
1	item	2	1	Sauerkraut	1.12.2.4.7	3
1	item	2	1	Dried Corn	1.12.2.4.8	3
1	item	2	2	Ravioli 	1.12.2.5	2
1	item	2	2	Menus	1.12.2.6	8
1	item	2	2	Turkey	1.12.2.7	5
1	item	2	2	Cranberry Sauce	1.12.2.8	7
1	item	2	2	Pies	1.12.2.9	14
1	item	2	2	Dressing/Stuffing	1.12.2.10	8
1	item	2	2	Jell-O Potluck	1.12.2.11	1
1	item	2	2	Macaroni and Cheese	1.12.2.12	1
1	item	2	2	Little Things	1.12.2.13	1
1	item	2	2	Noodles on Mashed Potatoes	1.12.2.14	1
1	item	2	2	Noodles	1.12.2.15	2
1	item	2	2	Thanksgiving Slush	1.12.2.16	1
1	item	2	2	Indian Pilaf (Rice Casserole)	1.12.2.17	1
1	item	2	2	Jell-O	1.12.2.18	1
1	item	2	2	Ham	1.12.2.19	2
1	item	2	2	Mashed Potatoes	1.12.2.20	1
1	item	2	2	Pumpkin Chocolate Chip Cookies	1.12.2.21	1
1	item	2	2	Gravy	1.12.2.22	1
1	item	2	2	Pie crust	1.12.2.23	1
1	item	2	2	Robs	1.12.2.24	1
1	item	2	2	Pumpkin Pie	1.12.2.25	2
1	item	2	2	Grits Casserole	1.12.2.26	1
1	file	-1	-1	Miscellaneous	1.12.2.0
1	item	2	2	Sausage Sage Dressing	1.12.2.0.1	1
1	item	2	2	150 Year old Pie Crust	1.12.2.0.2	1
1	item	2	2	Cigars	1.12.2.0.3	1
1	item	2	3	Prayer	1.12.3	3
1	item	2	3	Full Day Activities	1.12.4	69
1	item	2	4	Wishbone 	1.12.5	4
1	item	2	4	Snowmobiling	1.12.6	2
1	item	2	4	Drawing Names for Christmas	1.12.7	7
1	item	2	4	Playing Sports/Games	1.12.8	8
1	item	2	4	Jack Horner Pie (gifts)	1.12.9	1
1	item	2	4	Food Fight	1.12.10	1
1	item	2	4	Branding	1.12.11	1
1	item	2	4	Christmas Tree Searching	1.12.12	4
1	item	2	4	Birthday Piñata	1.12.13	1
1	item	2	4	Storytelling	1.12.14	1
1	item	2	4	Kid's Table	1.12.15	1
1	item	2	4	Time Capsule	1.12.16	1
1	item	2	4	Bingo	1.12.17	1
1	item	2	4	Teasing	1.12.18	1
1	item	2	4	Service	1.12.19	1
1	item	2	4	Movie	1.12.20	2
1	item	2	4	Gingerbread House Making	1.12.21	6
1	item	2	4	Thanksgiving Sleepover	1.12.22	1
1	item	2	4	Family Shopping	1.12.23	2
1	item	2	4	Poker	1.12.24	1
1	item	2	4	Dirty Jokes After Meal	1.12.25	1
1	item	2	4	Dad Makes Pies	1.12.26	1
1	item	2	4	Gift Given on Thanksgiving Night	1.12.27	1
1	item	2	4	Music Program	1.12.28	1
1	item	2	4	Eating Day	1.12.29	1
1	item	2	4	Who Carves the Turkey	1.12.30	5
1	item	2	4	Family Time	1.12.31	3
1	item	2	4	Cooking Customs	1.12.32	3
1	file	2	4	Miscellaneous	1.12.0
1	item	2	4	Relaxing	1.12.0.1	2
1	item	2	4	Skiing	1.12.0.2	1
1	item	2	4	Cooking the Turkey	1.12.0.3	1
1	item	2	4	Cabbage Turkey	1.12.0.4	1
1	item	2	4	Chocolate Pie and a Movie	1.12.0.5	1
1	item	2	4	Muffins and the Thanksgiving Day Parade	1.12.0.6	1
1	item	2	4	Trukey Shoot	1.12.0.7	1
1	item	2	4	Bring your best dish	1.12.0.8	1
1	item	2	4	Playing "Fat Dogs"	1.12.0.9	1
1	item	2	4	Turkey Day	1.12.0.10	1
1	item	2	4	BeautifulTable	1.12.0.11	1
1	file	-1	-1	Christmas	1.13
1	file	2	5	Foodways	1.13.1
1	file	2	5	Drinks	1.13.1.1
1	item	2	5	Wassail 	1.13.1.1.1	3
1	item	2	5	Hot Buttered Rum	1.13.1.1.2	1
1	item	2	5	Green Punch	1.13.1.1.3	1
1	item	2	5	Reindeer Milk	1.13.1.1.4	1
1	item	2	5	Hot Brandy	1.13.1.1.5	1
1	item	2	5	Eggnog	1.13.1.1.6	4
1	item	2	5	Spiced Cider	1.13.1.1.7	1
1	item	2	5	Danish Beer	1.13.1.1.8	1
1	item	2	5	Hot Totie	1.13.1.1.9	1
1	item	2	5	Ponche	1.13.1.1.10	1
1	item	2	5	Raspberry Punch	1.13.1.1.11	1
1	item	2	5	Jola Ol	1.13.1.1.12	1
1	item	2	5	Thickened Milk	1.13.1.1.13	1
1	file	2	5	Pastries/Cookies	1.13.1.2
1	file	2	5	Pastries	1.13.1.2.1
1	item	2	5	Baklava	1.13.1.2.1.1	3
1	item	2	5	Christmas Strudel	1.13.1.2.1.2	1
1	item	-1	-1	Kuegli	1.13.1.2.1.3	1
1	item	2	5	Bodelidder	1.13.1.2.1.4	1
1	item	2	5	Pivennatters	1.13.1.2.1.5	1
1	item	2	5	Danish Pastry Dough	1.13.1.2.1.6	1
1	item	2	5	Conachune	1.13.1.2.1.7	1
1	item	2	5	Kruspell	1.13.1.2.1.8	1
1	item	2	5	Lemon Crackers	1.13.1.2.1.9	1
1	item	2	5	Fritters	1.13.1.2.1.10	2
1	item	2	5	Cooglies	1.13.1.2.1.11	1
1	item	2	5	Cannoli	1.13.1.2.1.12	1
1	file	2	5	Cookies	1.13.1.2.2
1	item	2	5	Pizelle	1.13.1.2.2.1	1
1	item	2	5	Bratzelis	1.13.1.2.2.2	1
1	item	2	5	Candy Cane Cookies	1.13.1.2.2.3	2
1	item	2	5	Sugar Cookies	1.13.1.2.2.4	14
1	item	2	5	Gingerbread House/Man	1.13.1.2.2.5	8
1	item	2	5	Peppernuts	1.13.1.2.2.6	1
1	item	2	5	Molasses Cookies	1.13.1.2.2.7	1
1	item	2	5	Cake Cookies	1.13.1.2.2.8	1
1	item	2	5	Maids of Honor	1.13.1.2.2.9	1
1	item	2	5	Shortbread Cookies	1.13.1.2.2.10	2
1	item	2	5	Irish Drop Cookies	1.13.1.2.2.11	1
1	item	2	5	Honey Cookies	1.13.1.2.2.12	1
1	item	2	5	Honey Dolls (Masesbob)	1.13.1.2.2.13	1
1	item	2	5	Kiflins	1.13.1.2.2.14	1
1	item	2	5	Smäskrausas	1.13.1.2.2.15	1
1	item	2	5	SandBakelser	1.13.1.2.2.16	1
1	item	2	5	Gorodo	1.13.1.2.2.17	1
1	item	2	5	Goro	1.13.1.2.2.18	1
1	item	2	5	Tebioud	1.13.1.2.2.19	1
1	item	2	5	Spritz	1.13.1.2.2.20	1
1	item	2	5	Savdkaker	1.13.1.2.2.21	1
1	item	2	5	Holiday Dough Woman	1.13.1.2.2.22	1
1	item	2	5	German Christmas Tree                                   Cookies	1.13.1.2.2.23	1
1	item	2	5	Pan de Polvo	1.13.1.2.2.24	1
1	item	2	5	Biscochos	1.13.1.2.2.25	1
1	item	2	5	Pepper Cookies	1.13.1.2.2.26	1
1	item	2	5	Ginger Snaps	1.13.1.2.2.27	1
1	item	2	5	Reindeer Bags	1.13.1.2.2.28	1
1	item	2	5	Danish Wedding Cookies	1.13.1.2.2.29	1
1	item	2	5	Painting Cookies	1.13.1.2.2.30	1
1	item	2	5	Cream Cheese Cookies	1.13.1.2.2.31	1
1	item	2	5	Gingerbread Cookies	1.13.1.2.2.32	1
1	file	2	6	Puddings	1.13.1.3
1	item	2	6	Suet Pudding 	1.13.1.3.1	7
1	item	2	6	Carrot Pudding	1.13.1.3.2	3
1	item	2	6	Date Nut Pudding	1.13.1.3.3	1
1	item	2	6	Pudding Surprise	1.13.1.3.4	12
1	item	2	6	Peppermint Pudding	1.13.1.3.5	1
1	item	2	6	Dansk Ris Al'amande	1.13.1.3.6	2
1	item	2	6	English Plum Pudding	1.13.1.3.7	3
1	item	2	6	Rice Cream	1.13.1.3.8	2
1	file	2	6	Pies	1.13.1.4
1	item	2	6	Fruit Pies	1.13.1.4.1	1
1	item	2	6	Pear Pie	1.13.1.4.2	1
1	item	2	6	Pumpkin Pie	1.13.1.4.3	1
1	item	2	6	Cheesecake	1.13.1.4.4	1
1	item	2	6	Key Lime Pie	1.13.1.4.5	1
1	file	2	6	Candy	1.13.1.5
1	item	2	6	Yummy Balls	1.13.1.5.1	1
1	item	2	6	Fudge	1.13.1.5.2	11
1	item	2	6	Caramels	1.13.1.5.3	7
1	item	2	6	Holly Treats	1.13.1.5.4	1
1	item	2	6	Chocolates	1.13.1.5.5	3
1	item	2	6	Chocolate Covered Pretzels	1.13.1.5.6	1
1	item	2	6	Candy House	1.13.1.5.7	1
1	item	2	6	Divinity	1.13.1.5.8	3
1	item	2	6	Holiday Apples	1.13.1.5.9	1
1	item	2	6	Toffee	1.13.1.5.10	2
1	item	2	6	Suckers	1.13.1.5.11	1
1	item	2	6	Taffy	1.13.1.5.12	3
1	item	2	6	Peanut Brittle	1.13.1.5.13	4
1	item	2	6	Chocolate Almond Balls	1.13.1.5.14	1
1	item	2	6	Caramel Corn	1.13.1.5.15	2
1	item	2	6	Chocolate Bon Bonettes	1.13.1.5.16	1
1	item	2	6	Peanut Butter Balls	1.13.1.5.17	2
1	item	2	6	Puffed Wheat Squares	1.13.1.5.18	1
1	item	2	6	Cream Candy	1.13.1.5.19	1
1	item	2	6	Molasses Candy	1.13.1.5.20	1
1	item	2	6	Penuche	1.13.1.5.21	1
1	item	2	6	Caramel Sauce	1.13.1.5.22	1
1	item	2	6	Pinwheel	1.13.1.5.23	1
1	item	2	6	Ostergard Balls	1.13.1.5.24	1
1	item	2	6	Chocolate Covered Caramel	1.13.1.5.25	1
1	item	2	6	Popcorn Balls	1.13.1.5.26	1
1	item	2	6	Life Savers	1.13.1.5.27	1
1	file	2	6	Miscellaneous	1.13.1.5.0
1	item	2	6	Christmas Goodies	1.13.1.5.0.1	4
1	item	2	6	English Style Chrismas Candy	1.13.1.5.0.2	1
1	item	2	6	Puppy Chow (Chex Mix)	1.13.1.5.0.3	1
1	item	2	6	English Toffee	1.13.1.5.0.4	1
1	file	2	7	Fondues	1.13.1.6
1	item	2	7	Meat 	1.13.1.6.1	1
1	item	2	7	Chocolate	1.13.1.6.2	3
1	item	2	7	Cheese	1.13.1.6.3	1
1	item	2	7	Sausage and Eggs	1.13.1.6.4	2
1	file	2	7	Miscellaneous	1.13.1.6.0
1	item	2	7	Fondue Night	1.13.1.6.0.1	1
1	item	2	7	Fondue and The Christmas Story	1.13.1.6.0.2	1
1	file	2	7	Breads	1.13.1.7
1	item	2	7	Bread Candy Canes	1.13.1.7.1	1
1	item	2	7	Poppyseed Bread	1.13.1.7.2	1
1	item	2	7	Hobo Bread	1.13.1.7.3	1
1	item	2	7	Christmas Wreaths	1.13.1.7.4	1
1	item	2	7	Scotch Bread	1.13.1.7.5	4
1	item	2	7	Potica	1.13.1.7.6	1
1	item	2	7	Kleinjer	1.13.1.7.7	1
1	item	2	7	Danish Christmas Bread	1.13.1.7.8	1
1	item	2	7	Norwegian Christmas Bread	1.13.1.7.9	1
1	item	2	7	Lefsa	1.13.1.7.10	1
1	item	2	7	Cherry Nut Bread	1.13.1.7.11	1
1	item	2	7	Monkey Bread	1.13.1.7.12	1
1	item	2	7	Holiday Bread	1.13.1.7.13	1
1	item	2	7	Pulla	1.13.1.7.14	1
1	item	2	7	Zupha Braided Bread	1.13.1.7.15	1
1	item	2	7	Buñuelos	1.13.1.7.16	1
1	file	2	7	Miscellaneous	1.13.1.7.0
1	item	2	7	Bread for Good Wishes	1.13.1.7.0.1	1
1	item	2	7	Dinner Rolls Turned Cinnamon Rolls	1.13.1.7.0.2	1
1	file	2	7	Cakes	1.13.1.8
1	item	2	7	Dutch Christmas Cake	1.13.1.8.1	1
1	item	2	7	Trifle	1.13.1.8.2	4
1	item	2	7	Surprise in Cake	1.13.1.8.3	2
1	item	2	7	Fruitcake	1.13.1.8.4	8
1	item	2	7	Icing for Cake	1.13.1.8.5	1
1	item	2	7	Jam Cake	1.13.1.8.6	1
1	item	2	7	Pumpkin Cake	1.13.1.8.7	1
1	item	-1	-1	Carrot Cake	1.13.1.8.8	1
1	item	2	7	Yule Log	1.13.1.8.9	2
1	item	2	7	Red Velvet Cake	1.13.1.8.10	1
1	item	2	7	Boiled Raisin Cake	1.13.1.8.11	1
1	item	2	7	Apricot Ring	1.13.1.8.12	1
1	item	2	7	Holiday Cookies	1.13.1.8.13	1
1	file	2	7	Breakfast	1.13.1.9
1	item	2	7	Souffles	1.13.1.9.1	2
1	item	2	7	Cereal	1.13.1.9.2	4
1	item	2	7	Green Eggs	1.13.1.9.3	1
1	item	2	7	Fin and Haddie	1.13.1.9.4	5
1	item	2	7	Orange Slices	1.13.1.9.5	1
1	item	2	7	Aebelskivers	1.13.1.9.6	7
1	item	2	7	Cinnamon Rolls	1.13.1.9.7	3
1	item	2	7	Swedish Pancakes	1.13.1.9.8	2
1	item	2	7	Potato Pancakes	1.13.1.9.9	1
1	item	2	7	Heritage Breakfast	1.13.1.9.10	1
1	item	2	7	Bubble Bread	1.13.1.9.11	1
1	item	2	7	Creamed Eggs	1.13.1.9.12	1
1	item	2	7	Brunch Casserole	1.13.1.9.13	1
1	item	2	7	Strata	1.13.1.9.14	1
1	file	2	7	Miscellaneous	1.13.1.9.0
1	item	2	7	Christmas Breakfast Menu	1.13.1.9.0.1	4
1	item	2	7	Christmas Dishes	1.13.1.9.0.2	1
1	item	2	7	Christmas Souffle	1.13.1.9.0.3	1
1	item	2	7	Grapefruit and Eggnog	1.13.1.9.0.4	1
1	item	2	7	Peterson Mess	1.13.1.9.0.5	1
1	item	2	7	Poor Man's (Fruit) Cake	1.13.1.9.0.6	1
1	item	2	7	Pancakes	1.13.1.9.0.7	1
1	item	2	7	Wine for Jesus' Birthday	1.13.1.9.0.8	1
1	file	2	8	Dinners	1.13.1.10
1	item	2	8	Chili 	1.13.1.10.1	2
1	item	2	8	Pozole	1.13.1.10.2	1
1	item	2	8	Rice	1.13.1.10.3	1
1	item	2	8	Duppy-grato	1.13.1.10.4	1
1	item	2	8	24 Hour Salad	1.13.1.10.5	1
1	item	2	8	Chicken Salad Pita	1.13.1.10.6	1
1	item	2	8	Mint Sauce	1.13.1.10.7	1
1	item	2	8	Carmen Potatoes	1.13.1.10.8	1
1	item	2	8	Sauerkraut	1.13.1.10.9	1
1	item	-1	-1	Nasi	1.13.1.10.10	1
1	item	2	8	Pizza	1.13.1.10.11	3
1	item	2	8	Duck	1.13.1.10.12	1
1	item	2	8	Tamales	1.13.1.10.13	2
1	item	2	8	Ambrosia	1.13.1.10.14	2
1	item	2	8	Clam Chowder	1.13.1.10.15	7
1	item	2	8	Bananas and Oranges	1.13.1.10.16	1
1	item	2	8	Oyster Stew	1.13.1.10.17	9
1	item	2	8	Sour Cream Enchiladas	1.13.1.10.18	1
1	item	2	8	Goulash	1.13.1.10.19	2
1	item	2	8	Pluckmye	1.13.1.10.20	1
1	item	2	8	Swedish Fruit Soup	1.13.1.10.21	1
1	item	2	8	Swedish Meatballs	1.13.1.10.22	3
1	item	2	9	Meat Pies 	1.13.1.10.23	1
1	item	2	9	Strawberry Jell-O Salad	1.13.1.10.24	1
1	item	2	9	Waldorf Salad Dressing	1.13.1.10.25	1
1	item	2	9	Chili Dip	1.13.1.10.26	1
1	item	2	9	Cheese Ball	1.13.1.10.27	1
1	item	2	9	BBQ Sausages	1.13.1.10.28	1
1	item	2	9	Glazed Meatballs	1.13.1.10.29	1
1	item	2	9	Chicken Patties	1.13.1.10.30	1
1	item	2	9	Coney Islands	1.13.1.10.31	1
1	item	2	9	Carrots	1.13.1.10.32	1
1	item	2	9	Green Dumplings	1.13.1.10.33	1
1	item	-1	-1	Fried Okra	1.13.1.10.34	1
1	item	2	9	Hearty Party Soup	1.13.1.10.35	1
1	item	2	9	Italian Antipasto	1.13.1.10.36	1
1	item	2	9	Gravy	1.13.1.10.37	1
1	item	2	9	Au Gratin Potatoes	1.13.1.10.38	1
